grp;grp2;aphgrp;perfgrp;subj;contr;contrnum;sent;item;acc;rt;cleanRT;senttype;corr;N;PerCorr;chance
EC;EC;EC;EC;24001;PvA;1;P;12;1;306;306;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;13;1;881;881;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;14;1;533;533;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;15;1;1324;1324;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;16;1;1149;1149;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;17;1;695;695;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;18;0;1266;1266;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;19;1;656;656;expt;18;20;90;above
EC;EC;EC;EC;24001;PvA;1;P;20;1;306;306;expt;18;20;90;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;1;1;1507;1507;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;2;1;192;192;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;3;1;1355;1355;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;4;1;1056;1056;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;5;1;795;795;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;6;1;648;648;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;7;1;352;352;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;8;1;1123;1123;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;9;1;360;360;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;10;1;504;504;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;11;1;1178;1178;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;12;1;315;315;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;13;1;464;464;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;14;1;437;437;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;15;1;578;578;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;16;1;325;325;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;17;1;406;406;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;18;1;521;521;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;19;1;392;392;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;3NP;20;1;254;254;base;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;1;1;724;724;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;2;1;1319;1319;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;3;1;451;451;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;4;1;366;366;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;5;1;791;791;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;6;1;228;228;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;7;1;325;325;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;8;1;649;649;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;9;1;384;384;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;10;1;228;228;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;11;1;1201;1201;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;12;1;262;262;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;13;1;361;361;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;14;1;320;320;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;15;1;2486;2486;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;16;1;292;292;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;17;1;1523;1523;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;18;1;338;338;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;19;1;1717;1717;expt;20;20;100;above
EC;EC;EC;EC;24001;REF3NP;2;REF;20;1;339;339;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;1;1;480;480;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;2;1;1848;1848;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;3;1;9354;.;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;4;1;387;387;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;5;1;6194;6194;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;6;1;1202;1202;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;7;1;1490;1490;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;8;1;1722;1722;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;9;1;5231;5231;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;10;1;174;174;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;11;1;3422;3422;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;12;1;107;107;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;13;1;1240;1240;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;14;1;5255;5255;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;15;1;973;973;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;16;1;189;189;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;17;1;1694;1694;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;18;1;1326;1326;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;19;1;1253;1253;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SO;20;1;4082;4082;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;1;1;5125;5125;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;2;1;1615;1615;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;3;1;10488;.;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;4;1;1309;1309;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;5;1;5951;5951;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;6;1;814;814;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;7;1;1504;1504;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;8;1;384;384;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;9;1;5292;5292;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;10;1;2757;2757;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;11;1;2542;2542;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;12;1;893;893;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;13;1;3360;3360;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;14;1;312;312;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;15;1;3037;3037;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;16;1;669;669;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;17;1;1993;1993;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;18;1;1989;1989;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;19;1;3266;3266;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSO;2;SOPRO;20;1;404;404;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;1;1;5125;5125;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;2;1;1615;1615;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;3;1;10488;.;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;4;1;1309;1309;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;5;1;5951;5951;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;6;1;814;814;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;7;1;1504;1504;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;8;1;384;384;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;9;1;5292;5292;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;10;1;2757;2757;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;11;1;2542;2542;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;12;1;893;893;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;13;1;3360;3360;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;14;1;312;312;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;15;1;3037;3037;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;16;1;669;669;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;17;1;1993;1993;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;18;1;1989;1989;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;19;1;3266;3266;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SOPRO;20;1;404;404;expt;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;1;1;1777;1777;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;2;1;845;845;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;3;1;1416;1416;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;4;1;2015;2015;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;5;1;362;362;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;6;1;1113;1113;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;7;1;3504;3504;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;8;1;442;442;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;9;1;1929;1929;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;10;1;328;328;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;11;1;1326;1326;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;12;1;566;566;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;13;1;2066;2066;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;14;1;243;243;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;15;1;1848;1848;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;16;1;320;320;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;17;1;464;464;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;18;1;586;586;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;19;1;527;527;base;20;20;100;above
EC;EC;EC;EC;24001;SOPROSSPRO;1;SSPRO;20;1;221;221;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;1;1;480;480;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;2;1;1848;1848;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;3;1;9354;.;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;4;1;387;387;base;20;20;100;above
