,simset,condition,GA,DAT,ANS,sentCount,corrCountEmbV,corrCountRefl,acc_embV,acc_refl
107,54,OR-REFL,0.5,0.06,0.35,2000.0,764.0,598.0,0.764,0.598
108,55,SR-REFL,0.75,0.06,0.35,2000.0,698.0,621.0,0.698,0.621
109,55,OR-REFL,0.75,0.06,0.35,2000.0,753.0,589.0,0.753,0.589
110,56,SR-REFL,1.0,0.06,0.35,2000.0,707.0,642.0,0.707,0.642
111,56,OR-REFL,1.0,0.06,0.35,2000.0,799.0,613.0,0.799,0.613
112,57,SR-REFL,0.25,0.07,0.35,2000.0,618.0,553.0,0.618,0.553
113,57,OR-REFL,0.25,0.07,0.35,2000.0,725.0,557.0,0.725,0.557
114,58,SR-REFL,0.5,0.07,0.35,2000.0,684.0,590.0,0.684,0.59
115,58,OR-REFL,0.5,0.07,0.35,2000.0,743.0,585.0,0.743,0.585
116,59,SR-REFL,0.75,0.07,0.35,2000.0,672.0,597.0,0.672,0.597
117,59,OR-REFL,0.75,0.07,0.35,2000.0,732.0,563.0,0.732,0.563
118,60,SR-REFL,1.0,0.07,0.35,2000.0,720.0,639.0,0.72,0.639
119,60,OR-REFL,1.0,0.07,0.35,2000.0,781.0,614.0,0.781,0.614
120,61,SR-REFL,0.25,0.08,0.35,2000.0,610.0,545.0,0.61,0.545
121,61,OR-REFL,0.25,0.08,0.35,2000.0,745.0,580.0,0.745,0.58
122,62,SR-REFL,0.5,0.08,0.35,2000.0,652.0,568.0,0.652,0.568
123,62,OR-REFL,0.5,0.08,0.35,2000.0,757.0,579.0,0.757,0.579
124,63,SR-REFL,0.75,0.08,0.35,2000.0,675.0,599.0,0.675,0.599
125,63,OR-REFL,0.75,0.08,0.35,2000.0,756.0,584.0,0.756,0.584
126,64,SR-REFL,1.0,0.08,0.35,2000.0,684.0,627.0,0.684,0.627
127,64,OR-REFL,1.0,0.08,0.35,2000.0,764.0,605.0,0.764,0.605
128,65,SR-REFL,0.25,0.09,0.35,2000.0,618.0,543.0,0.618,0.543
129,65,OR-REFL,0.25,0.09,0.35,2000.0,743.0,566.0,0.743,0.566
130,66,SR-REFL,0.5,0.09,0.35,2000.0,611.0,533.0,0.611,0.533
131,66,OR-REFL,0.5,0.09,0.35,2000.0,733.0,593.0,0.733,0.593
132,67,SR-REFL,0.75,0.09,0.35,2000.0,623.0,553.0,0.623,0.553
133,67,OR-REFL,0.75,0.09,0.35,2000.0,739.0,591.0,0.739,0.591
134,68,SR-REFL,1.0,0.09,0.35,2000.0,654.0,579.0,0.654,0.579
135,68,OR-REFL,1.0,0.09,0.35,2000.0,763.0,577.0,0.763,0.577
