"grp" "aphgrp" "subj" "contr" "sent" "item" "seg" "acc" "rt" "senttype"
"1792" "EC" "EC" 24001 "SOSS" "SO" 20 "a" 1 295 "expt"
"1793" "EC" "EC" 24001 "SOSS" "SO" 20 "b" 1 391 "expt"
"1794" "EC" "EC" 24001 "SOSS" "SO" 20 "c" 1 301 "expt"
"1795" "EC" "EC" 24001 "SOSS" "SO" 20 "d" 1 451 "expt"
"1796" "EC" "EC" 24001 "SOSS" "SO" 20 "e" 1 662 "expt"
"1797" "EC" "EC" 24001 "SOSS" "SO" 20 "f" 1 NA "expt"
"1798" "EC" "EC" 24001 "SOSS" "SS" 1 "a" 1 247 "base"
"1799" "EC" "EC" 24001 "SOSS" "SS" 1 "b" 1 547 "base"
"1800" "EC" "EC" 24001 "SOSS" "SS" 1 "c" 1 670 "base"
"1801" "EC" "EC" 24001 "SOSS" "SS" 1 "d" 1 315 "base"
"1802" "EC" "EC" 24001 "SOSS" "SS" 1 "e" 1 829 "base"
"1803" "EC" "EC" 24001 "SOSS" "SS" 1 "f" 1 NA "base"
"1804" "EC" "EC" 24001 "SOSS" "SS" 2 "a" 1 132 "base"
"1805" "EC" "EC" 24001 "SOSS" "SS" 2 "b" 1 329 "base"
"1806" "EC" "EC" 24001 "SOSS" "SS" 2 "c" 1 339 "base"
"1807" "EC" "EC" 24001 "SOSS" "SS" 2 "d" 1 279 "base"
"1808" "EC" "EC" 24001 "SOSS" "SS" 2 "e" 1 286 "base"
"1809" "EC" "EC" 24001 "SOSS" "SS" 2 "f" 1 NA "base"
"1810" "EC" "EC" 24001 "SOSS" "SS" 3 "a" 1 397 "base"
"1811" "EC" "EC" 24001 "SOSS" "SS" 3 "b" 1 491 "base"
"1812" "EC" "EC" 24001 "SOSS" "SS" 3 "c" 1 523 "base"
"1813" "EC" "EC" 24001 "SOSS" "SS" 3 "d" 1 557 "base"
"1814" "EC" "EC" 24001 "SOSS" "SS" 3 "e" 1 671 "base"
"1815" "EC" "EC" 24001 "SOSS" "SS" 3 "f" 1 NA "base"
"1816" "EC" "EC" 24001 "SOSS" "SS" 4 "a" 1 207 "base"
"1817" "EC" "EC" 24001 "SOSS" "SS" 4 "b" 1 279 "base"
"1818" "EC" "EC" 24001 "SOSS" "SS" 4 "c" 1 267 "base"
"1819" "EC" "EC" 24001 "SOSS" "SS" 4 "d" 1 277 "base"
"1820" "EC" "EC" 24001 "SOSS" "SS" 4 "e" 1 139 "base"
"1821" "EC" "EC" 24001 "SOSS" "SS" 4 "f" 1 NA "base"
"1822" "EC" "EC" 24001 "SOSS" "SS" 5 "a" 1 134 "base"
"1823" "EC" "EC" 24001 "SOSS" "SS" 5 "b" 1 373 "base"
"1824" "EC" "EC" 24001 "SOSS" "SS" 5 "c" 1 579 "base"
"1825" "EC" "EC" 24001 "SOSS" "SS" 5 "d" 1 615 "base"
"1826" "EC" "EC" 24001 "SOSS" "SS" 5 "e" 1 559 "base"
